File Name	License	Source	Notes / Comments
Einstein.jpg	Public Domain	https://www.bhm.ch/de/news_04a.cfm?bid=4&jahr=2006	Taken from https://en.wikipedia.org/wiki/Einstein 2012/09/13
Benzene.xyz	GNU Free Documentation License 1.2	https://openbabel.org/wiki/XYZ_%28format%29	Edited: Original comment read 'benzene example'. Taken 2012/09/13
EinsteinSzilLetter.txt	Public Domain	https://en.wikipedia.org/wiki/File:Einstein-Roosevelt-letter.png	Letter from Einstein to US president Franklin D. Roosvelt on August 2, 1939 - added linebreaks and removed page numbering
sunflowers.jpg	Public Domain	United States Department of Agriculture - Agricultural Research Service	Taken from https://en.wikipedia.org/wiki/File:Sunflowers.jpg as of 2012/09/13
MadTeaParty.gif	Public Domain	https://www.gutenberg.org/files/114/114-h/114-h.htm	Illustration by Sir John Tenniel for 'Alice in Wonderland'. Taken from Project Guttenberg as of 2012/09/25
BloodToilTearsSweat.txt	Public Domain	https://www.fiftiesweb.com/usa/winston-churchill-blood-toil.htm	May 13, 1940 Winston Churchill "Blood, Toil, Tears and Sweat". Taken as of 2012/09/25
lena.tif	non-free : overlooked	https://sipi.usc.edu/database/	Famous 'lena' or 'lenna' test image
moon.tif	Public Domain	https://photojournal.jpl.nasa.gov/target/moon	Taken from Nasa JPL 'PhotoJournal' as of 2012/09/25 and resized using ImageMagik-6.7.9
ExampleData.txt	GNU Free Documentation License 1.2	Own Work	Created By Angus Griffith with a simple Python script
numberdata.csv	GNU Free Documentation License 1.2	Own Work	Created By Angus Griffith with a simple Python script
colors.json	GNU Free Documentation License 1.2	Own Work	Created Manually By Angus Griffith 
Testosterone.svg	Public Domain	https://en.wikipedia.org/wiki/File:Testosteron.svg	Taken from https://en.wikipedia.org/wiki/Testosterone on 2013/03/03
InventionNo1.xml	GNU Free Documentation License	https://openmusicscore.org/index.php?option=com_content&view=article&id=125:invention-no-1-bwv-772-bach-johann-sebastian&catid=84&Itemid=531
Namespaces.xml	CC BY-NC-SA License	https://edutechwiki.unige.ch/en/XML_namespace	"A larger example of namespace scoping" with comments removed
Middlemarch.txt The Project Gutenberg License   https://archive.org/details/middlemarch00145gut Chapter 75 of George Eliot's novel Middlemarch in ISO Latin 1 (8859-1) encoding
