AtomicNumber	Abbreviation	StandardName	Name	Block	Group	Period	Series	AtomicWeight	Density	AbsoluteMeltingPoint	MeltingPoint	AbsoluteBoilingPoint	BoilingPoint	SpecificHeat	ElectroNegativity	CrustAbundance	MohsHardness	VickersHardness	BrinellHardness	AtomicRadius	VanDerWaalsRadius	CovalentRadius	IonizationEnergies
1	H	Hydrogen	hydrogen	s	1	1	NonMetal	1.00794	0.08988	14.175	-258.975	20.28	-252.87	14304	2.2	0.0014	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	35	120	38	{1312.0}
2	He	Helium	helium	s	18	1	NobleGas	4.002602	0.1785	0.95	-272.2	4.22	-268.93	5193	NOT_APPLICABLE	0.000000008	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	31	140	32	{2372.3, 5250.5}
3	Li	Lithium	lithium	s	1	2	AlkaliMetal	6.941	534	453.85	180.7	1615	1341.85	3582	0.98	0.00002	0.6	NOT_AVAILABLE	NOT_AVAILABLE	145	182	134	{520.2, 7298.1, 11815.0}
4	Be	Beryllium	beryllium	s	2	2	AlkalineEarthMetal	9.012182	1850	1560.15	1287	2742	2468.85	1825	1.57	0.0000028	5.5	1670	600	105	NOT_AVAILABLE	90	{899.5, 1757.1, 14848.7, 21006.6}
5	B	Boron	boron	p	13	2	Metalloid	10.8	2340	2573.15	2300	4200	3926.85	1026	2.04	0.00001	9.5	49000	NOT_AVAILABLE	85	NOT_AVAILABLE	82	{800.6, 2427.1, 3659.7, 25025.8, 32826.7}
6	C	Carbon	carbon	p	14	2	NonMetal	12.0107	2267	3915	3641.85	3915	3641.85	709	2.55	0.0002	1.5	NOT_AVAILABLE	NOT_AVAILABLE	70	170	77	{1086.5, 2352.6, 4620.5, 6222.7, 37831, 47277.0}
7	N	Nitrogen	nitrogen	p	15	2	NonMetal	14.0067	1.2506	63.29	-209.86	77.36	-195.79	1040	3.04	0.000019	NOT_APPLICABLE	NOT_AVAILABLE	NOT_AVAILABLE	65	155	75	{1402.3, 2856, 4578.1, 7475.0, 9444.9, 53266.6, 64360}
8	O	Oxygen	oxygen	p	16	2	NonMetal	15.9994	1.429	50.5	-222.65	90.2	-182.95	918	3.44	0.461	NOT_APPLICABLE	NOT_AVAILABLE	NOT_AVAILABLE	60	152	73	{1313.9, 3388.3, 5300.5, 7469.2, 10989.5, 13326.5, 71330, 84078.0}
9	F	Fluorine	fluorine	p	17	2	Halogen	18.9984032	1.696	53.63	-219.52	85.03	-188.12	824	3.98	0.000585	NOT_APPLICABLE	NOT_AVAILABLE	NOT_AVAILABLE	50	147	71	{1681.0, 3374.2, 6050.4, 8407.7, 11022.7, 15164.1, 17868, 92038.1, 106434.3}
10	Ne	Neon	neon	p	18	2	NobleGas	20.1797	0.8999	24.703	-248.447	27.07	-246.08	1030	NOT_APPLICABLE	0.000000005	NOT_APPLICABLE	NOT_AVAILABLE	NOT_AVAILABLE	38	154	69	{2080.7, 3952.3, 6122, 9371, 12177, 15238, 19999.0, 23069.5, 115379.5, 131432}
11	Na	Sodium	sodium	s	1	3	AlkaliMetal	22.98976928	971	371.15	98	1156	882.85	1228	0.93	0.0236	0.5	NOT_AVAILABLE	0.69	180	227	154	{495.8, 4562, 6910.3, 9543, 13354, 16613, 20117, 25496, 28932, 141362, 159076}
